Descripción,Localización,Precio,Superficie Construida,Última Actualización,Consumo Energético,Emisiones CO2,Características,Tipo de operación
Apartamento en alquiler en El Burgo-El Abajón,El Burgo-El Abajón (Las Rozas de Madrid),1.050,65,Anuncio actualizado el 11/10/2024,N/A,N/A,"[('Superficie construida:', '65 m²'), ('Superficie útil:', '65 m²'), ('Habitaciones:', '1'), ('Baños:', '1'), ('Planta:', '1ª'), ('Antigüedad:', 'Entre 30 y 50 años'), ('Conservación:', 'En buen estado'), ('Referencia:', '992673-667905')]",Alquiler
Piso en alquiler en Almagro,Almagro (Distrito Chamberí. Madrid Capital),8.300,366,Anuncio actualizado el 28/10/2024,N/A,N/A,"[('Superficie construida:', '366 m²'), ('Superficie útil:', '350 m²'), ('Habitaciones:', '5'), ('Baños:', '4'), ('Planta:', '6ª'), ('Antigüedad:', 'Entre 30 y 50 años'), ('Conservación:', 'Reformado'), ('Referencia:', '996542-3824')]",Alquiler
Loft en alquiler en Travesía del Poeta Blas de Otero,Ventas (Distrito Ciudad Lineal. Madrid Capital),1.200,35,Anuncio actualizado el 06/09/2024,Consumo:341 kWh/m² año,Emisiones:71 Kg CO₂/m² año,"[('Superficie construida:', '35 m²'), ('Superficie útil:', '32 m²'), ('Baños:', '1'), ('Planta:', 'Bajo'), ('Antigüedad:', 'Más de 50 años'), ('Conservación:', 'A estrenar'), ('Referencia:', '4991170-AL2098')]",Alquiler
"Piso en alquiler en Calle de Núñez de Balboa, cerca de Calle de Don Ramón de la Cruz",Castellana (Distrito Salamanca. Madrid Capital),3.000,135,Anuncio actualizado el 28/10/2024,Consumo:243 kWh/m² año,Emisiones:49 Kg CO₂/m² año,"[('Superficie construida:', '135 m²'), ('Superficie útil:', '117 m²'), ('Habitaciones:', '5'), ('Baños:', '2'), ('Planta:', '3ª'), ('Antigüedad:', 'Menos de 5 años'), ('Conservación:', 'A estrenar'), ('Referencia:', '524228-000265')]",Alquiler
Piso en alquiler en Calle de Santa Cruz de Mudela,Almendrales (Distrito Usera. Madrid Capital),1.100,70,Anuncio actualizado el 17/10/2024,N/A,N/A,"[('Superficie construida:', '70 m²'), ('Superficie útil:', '68 m²'), ('Habitaciones:', '2'), ('Baños:', '1'), ('Planta:', '4ª'), ('Antigüedad:', 'Menos de 5 años'), ('Conservación:', 'En buen estado'), ('Referencia:', '4523686-000004')]",Alquiler
Piso en alquiler en El Encinar de los Reyes,Encinar de los Reyes (La Moraleja),3.200,170,Anuncio actualizado el 23/10/2024,N/A,N/A,"[('Superficie construida:', '170 m²'), ('Superficie útil:', '165 m²'), ('Habitaciones:', '4'), ('Baños:', '3'), ('Planta:', '1ª'), ('Conservación:', 'En buen estado'), ('Referencia:', '1794-001548')]",Alquiler
"Piso en alquiler en Calle de Los Mártires de la Ventilla, cerca de Calle del Cañaveral",Almenara (Distrito Tetuán. Madrid Capital),1.250,75,Anuncio actualizado el 18/10/2024,N/A,N/A,"[('Superficie construida:', '75 m²'), ('Superficie útil:', '70 m²'), ('Habitaciones:', '2'), ('Baños:', '1'), ('Planta:', '1ª'), ('Antigüedad:', 'Entre 10 y 20 años'), ('Conservación:', 'Reformado'), ('Referencia:', '4522531-000047')]",Alquiler
"Estudio en alquiler en Calle de San Florencio, 5",Numancia (Distrito Puente de Vallecas. Madrid Capital),1.150,40,Anuncio actualizado el 18/04/2024,Consumo:1 kWh/m² año,Emisiones:1 Kg CO₂/m² año,"[('Superficie construida:', '40 m²'), ('Superficie útil:', '40 m²'), ('Habitaciones:', '1'), ('Baños:', '1'), ('Planta:', 'Bajo'), ('Antigüedad:', 'Más de 50 años'), ('Conservación:', 'Reformado'), ('Referencia:', '4527206-SFL5')]",Alquiler
Piso en alquiler en Calle del Valle del Roncal,Európolis-Montecillo-Navalcarbón (Las Rozas de Madrid),1.550,86,Anuncio actualizado el 28/10/2024,N/A,N/A,"[('Superficie construida:', '86 m²'), ('Superficie útil:', '71 m²'), ('Habitaciones:', '2'), ('Planta:', 'Bajo'), ('Referencia:', 'XA614-12114')]",Alquiler
Piso en alquiler en Calle de San Mateo,Justicia-Chueca (Distrito Centro. Madrid Capital),1.500,50,Anuncio actualizado el 07/10/2024,N/A,N/A,"[('Superficie construida:', '50 m²'), ('Superficie útil:', '49 m²'), ('Habitaciones:', '1'), ('Baños:', '1'), ('Planta:', 'Bajo'), ('Conservación:', 'En buen estado'), ('Referencia:', 'SA1925-609365615641')]",Alquiler
Piso en alquiler en Calle de Vicente Blasco Ibáñez,Sanchinarro (Distrito Hortaleza. Madrid Capital),1.800,161,Anuncio actualizado el 16/10/2024,N/A,N/A,"[('Superficie construida:', '161 m²'), ('Superficie útil:', '104 m²'), ('Habitaciones:', '4'), ('Baños:', '2'), ('Planta:', '1ª'), ('Antigüedad:', 'Entre 10 y 20 años'), ('Conservación:', 'En buen estado'), ('Referencia:', 'SA4097-VO18092037')]",Alquiler
Piso en alquiler en Calle José María Pérez Peridis,Las Margaritas-Universidad (Getafe),1.300,88,Anuncio actualizado el 26/10/2024,N/A,N/A,"[('Superficie construida:', '88 m²'), ('Habitaciones:', '3'), ('Baños:', '2'), ('Planta:', '2ª'), ('Antigüedad:', 'Entre 10 y 20 años'), ('Referencia:', 'SA4390-2408/9233')]",Alquiler
Estudio en alquiler en Pueblo Nuevo,Quintana (Distrito Ciudad Lineal. Madrid Capital),1.500,32,Anuncio actualizado el 23/10/2024,N/A,N/A,"[('Superficie construida:', '32 m²'), ('Superficie útil:', '26 m²'), ('Baños:', '1'), ('Planta:', '2ª'), ('Antigüedad:', 'Entre 20 y 30 años'), ('Referencia:', 'SA5061-00122/11014')]",Alquiler
"Piso en alquiler en Calle de Cuart de Poblet, cerca de Calle de la Duquesa de Parcent",Lucero (Distrito Latina. Madrid Capital),1.200,63,Anuncio actualizado el 15/10/2024,N/A,N/A,"[('Superficie construida:', '63 m²'), ('Superficie útil:', '59 m²'), ('Habitaciones:', '2'), ('Baños:', '1'), ('Antigüedad:', 'Más de 50 años'), ('Referencia:', 'STA12-RP512024131242')]",Alquiler
Piso en alquiler en El Encinar de los Reyes,Encinar de los Reyes (La Moraleja),2.800,150,Anuncio actualizado el 26/10/2024,N/A,N/A,"[('Superficie construida:', '150 m²'), ('Superficie útil:', '130 m²'), ('Habitaciones:', '2'), ('Baños:', '2'), ('Planta:', '1ª'), ('Antigüedad:', 'Entre 10 y 20 años'), ('Conservación:', 'Reformado'), ('Referencia:', '1794-1101728')]",Alquiler
"Piso en alquiler en Calle de Antonio Toledano, 25",Fuente del Berro (Distrito Salamanca. Madrid Capital),1.850,91,Anuncio actualizado el 28/10/2024,N/A,N/A,"[('Superficie construida:', '91 m²'), ('Superficie útil:', '70 m²'), ('Habitaciones:', '3'), ('Baños:', '2'), ('Planta:', '2ª'), ('Antigüedad:', 'Entre 20 y 30 años'), ('Referencia:', 'SA528-241A1337/1085')]",Alquiler
Piso en alquiler en El Soto de La Moraleja,El Soto de la Moraleja (La Moraleja),2.600,107,Anuncio actualizado el 27/10/2024,N/A,N/A,"[('Superficie construida:', '107 m²'), ('Superficie útil:', '100 m²'), ('Habitaciones:', '2'), ('Baños:', '1'), ('Planta:', '2ª'), ('Antigüedad:', 'Entre 20 y 30 años'), ('Conservación:', 'Reformado'), ('Referencia:', '1794-1101934')]",Alquiler
"Piso en alquiler en Calle de Zurbano, cerca de Calle de García de Paredes",Almagro (Distrito Chamberí. Madrid Capital),2.700,60,Anuncio actualizado el 28/10/2024,N/A,N/A,"[('Superficie construida:', '60 m²'), ('Superficie útil:', '54 m²'), ('Habitaciones:', '1'), ('Baños:', '1'), ('Planta:', '1ª'), ('Antigüedad:', 'Más de 50 años'), ('Conservación:', 'En buen estado'), ('Referencia:', '996542-4083-AM')]",Alquiler
Dúplex en alquiler en Plaza del Tejar,Casco Antiguo (Alcorcón),1.300,130,Anuncio actualizado el 16/10/2024,Consumo:233 kWh/m² año,Emisiones:49 Kg CO₂/m² año,"[('Superficie construida:', '130 m²'), ('Superficie útil:', '115 m²'), ('Habitaciones:', '2'), ('Baños:', '3'), ('Planta:', '5ª'), ('Antigüedad:', 'Entre 20 y 30 años'), ('Conservación:', 'Reformado'), ('Referencia:', '4515003-989')]",Alquiler
"Piso en alquiler en Plaza de Perseo, número .",Estrella (Distrito Retiro. Madrid Capital),790,30,Anuncio actualizado el 07/09/2024,N/A,N/A,"[('Superficie construida:', '30 m²'), ('Superficie útil:', '29 m²'), ('Habitaciones:', '1'), ('Baños:', '1'), ('Planta:', 'Bajo'), ('Referencia:', 'EP442-800530')]",Alquiler
Piso en alquiler en Calle de Salamanca,Avanzada-La Cueva (Fuenlabrada),760,84,Anuncio actualizado el 02/10/2024,N/A,N/A,"[('Superficie construida:', '84 m²'), ('Habitaciones:', '3'), ('Baños:', '1'), ('Referencia:', 'SOL6-A0-69761-0001')]",Alquiler
Piso en alquiler en El Encinar de los Reyes,Encinar de los Reyes (La Moraleja),2.500,114,Anuncio actualizado el 27/10/2024,N/A,N/A,"[('Superficie construida:', '114 m²'), ('Superficie útil:', '113 m²'), ('Habitaciones:', '2'), ('Baños:', '2'), ('Planta:', '1ª'), ('Antigüedad:', 'Entre 20 y 30 años'), ('Conservación:', 'Reformado'), ('Referencia:', '1794-1101841')]",Alquiler
Chalet en alquiler en Cercedilla,Cercedilla,2.200,240,Anuncio actualizado el 28/10/2024,N/A,N/A,"[('Superficie construida:', '240 m²'), ('Superficie útil:', '220 m²'), ('Habitaciones:', '3'), ('Baños:', '3'), ('Antigüedad:', 'Entre 20 y 30 años'), ('Referencia:', 'SA603-1016/1925')]",Alquiler
Piso en alquiler en El Soto de La Moraleja,El Soto de la Moraleja (La Moraleja),4.700,290,Anuncio actualizado el 07/10/2024,N/A,N/A,"[('Superficie construida:', '290 m²'), ('Superficie útil:', '280 m²'), ('Habitaciones:', '5'), ('Baños:', '5'), ('Planta:', '1ª'), ('Antigüedad:', 'Entre 20 y 30 años'), ('Conservación:', 'Reformado'), ('Referencia:', '1794-1101611')]",Alquiler
Chalet adosado en alquiler en El Soto de La Moraleja,El Soto de la Moraleja (La Moraleja),4.100,180,Anuncio actualizado el 10/10/2024,N/A,N/A,"[('Superficie construida:', '180 m²'), ('Superficie útil:', '180 m²'), ('Superficie solar:', '80 m²'), ('Habitaciones:', '4'), ('Baños:', '4'), ('Antigüedad:', 'Entre 20 y 30 años'), ('Conservación:', 'Reformado'), ('Referencia:', '1794-1101940')]",Alquiler
"Estudio en alquiler en Pasaje de la Virgen de la Alegría, 14",Quintana (Distrito Ciudad Lineal. Madrid Capital),1.500,30,Anuncio actualizado el 18/04/2024,Consumo:1 kWh/m² año,Emisiones:1 Kg CO₂/m² año,"[('Superficie construida:', '30 m²'), ('Superficie útil:', '30 m²'), ('Habitaciones:', '1'), ('Baños:', '1'), ('Planta:', '1ª'), ('Antigüedad:', 'Menos de 5 años'), ('Conservación:', 'Reformado'), ('Referencia:', '4527206-ALE141F')]",Alquiler
Estudio en alquiler en Calle del Limonero,Castillejos (Distrito Tetuán. Madrid Capital),2.210,45,Anuncio actualizado el 28/10/2024,N/A,N/A,"[('Superficie construida:', '45 m²'), ('Superficie útil:', '40 m²'), ('Habitaciones:', '1'), ('Baños:', '1'), ('Planta:', '2ª'), ('Antigüedad:', 'Menos de 5 años'), ('Conservación:', 'En buen estado'), ('Referencia:', '996542-4051-AM')]",Alquiler
Piso en alquiler en Calle de Campomanes,Palacio (Distrito Centro. Madrid Capital),2.000,43,Anuncio actualizado el 20/08/2024,N/A,N/A,"[('Superficie construida:', '43 m²'), ('Habitaciones:', '2'), ('Baños:', '1'), ('Planta:', '5ª'), ('Conservación:', 'En buen estado'), ('Referencia:', 'SA1925-23123')]",Alquiler
Piso en alquiler en Universidad-Malasaña,Universidad-Malasaña (Distrito Centro. Madrid Capital),1.800,104,Anuncio actualizado el 26/10/2024,N/A,N/A,"[('Superficie construida:', '104 m²'), ('Baños:', '2'), ('Planta:', '1ª'), ('Antigüedad:', 'Entre 30 y 50 años'), ('Conservación:', 'En buen estado'), ('Referencia:', 'TC852-598325')]",Alquiler
Piso en alquiler en Avenida de los Reyes Católicos,Rinconada (Distrito Reyes Católicos. Alcalá de Henares),900,70,Anuncio actualizado el 04/10/2024,N/A,N/A,"[('Superficie construida:', '70 m²'), ('Habitaciones:', '3'), ('Baños:', '1'), ('Referencia:', 'SOL6-CG-26306-0001')]",Alquiler
Piso en alquiler en Puente de Vallecas,Entrevías (Distrito Puente de Vallecas. Madrid Capital),1.200,106,Anuncio actualizado el 28/10/2024,N/A,N/A,"[('Superficie construida:', '106 m²'), ('Habitaciones:', '3'), ('Baños:', '2'), ('Planta:', '2ª'), ('Antigüedad:', 'Entre 20 y 30 años'), ('Referencia:', 'GB7-PISO EN ALQUILER EN PUENTE DE VALLECAS - ENTREVÍAS')]",Alquiler
"Apartamento en alquiler en Calle de Topete, 11",Bellas Vistas (Distrito Tetuán. Madrid Capital),2.600,58,Anuncio actualizado el 04/04/2024,Consumo:1 kWh/m² año,Emisiones:1 Kg CO₂/m² año,"[('Superficie construida:', '58 m²'), ('Superficie útil:', '58 m²'), ('Habitaciones:', '3'), ('Baños:', '1'), ('Planta:', '1ª'), ('Antigüedad:', 'Más de 50 años'), ('Conservación:', 'Reformado'), ('Referencia:', '4527206-TPT11')]",Alquiler
"Apartamento en alquiler en Calle de Claudio Coello, 55, cerca de Calle de Ayala",Castellana (Distrito Salamanca. Madrid Capital),2.300,80,Anuncio actualizado el 22/05/2024,N/A,N/A,"[('Superficie construida:', '80 m²'), ('Superficie útil:', '68 m²'), ('Habitaciones:', '1'), ('Baños:', '1'), ('Planta:', '4ª'), ('Antigüedad:', 'Entre 5 y 10 años'), ('Conservación:', 'En buen estado'), ('Referencia:', '4991150-claudio coello')]",Alquiler
"Piso en alquiler en Ronda de Gloria Fuertes, 2",Centro (Rivas-Vaciamadrid),975,80,Anuncio actualizado el 11/10/2024,Consumo:220 kWh/m² año,Emisiones:48 Kg CO₂/m² año,"[('Superficie construida:', '80 m²'), ('Superficie útil:', '61 m²'), ('Habitaciones:', '2'), ('Baños:', '1'), ('Planta:', '3ª'), ('Conservación:', 'En buen estado'), ('Referencia:', 'SA2695-2200/22000605/00000109')]",Alquiler
Casa en alquiler en Calle de San Nicasio,Torrejón de Velasco,1.200,220,Anuncio actualizado el 09/10/2024,N/A,N/A,"[('Superficie construida:', '220 m²'), ('Superficie útil:', '200 m²'), ('Habitaciones:', '3'), ('Baños:', '1'), ('Antigüedad:', 'Entre 30 y 50 años'), ('Conservación:', 'En buen estado'), ('Referencia:', '4994627-13312549')]",Alquiler
"Piso en alquiler en Avenida de Moratalaz, número .",Fontarrón (Distrito Moratalaz. Madrid Capital),1.000,62,Anuncio actualizado el 01/10/2024,N/A,N/A,"[('Superficie construida:', '62 m²'), ('Superficie útil:', '62 m²'), ('Habitaciones:', '3'), ('Baños:', '1'), ('Planta:', '3ª'), ('Referencia:', 'EP442-812160')]",Alquiler
Piso en alquiler en Calle del Tesoro,Universidad-Malasaña (Distrito Centro. Madrid Capital),850,26,Anuncio actualizado el 10/10/2024,N/A,N/A,"[('Superficie construida:', '26 m²'), ('Habitaciones:', '1'), ('Baños:', '1'), ('Referencia:', 'SOL6-CH-66976-0001')]",Alquiler
Piso en alquiler en Calle del Cristo de la Luz,Almendrales (Distrito Usera. Madrid Capital),950,38,Anuncio actualizado el 01/10/2024,N/A,N/A,"[('Superficie construida:', '38 m²'), ('Habitaciones:', '2'), ('Baños:', '1'), ('Referencia:', 'SOL6-CG-80969-0001')]",Alquiler
Chalet en alquiler en Calle de los Sarmientos,Colmenarejo,1.700,200,Anuncio actualizado el 28/10/2024,N/A,N/A,"[('Superficie construida:', '200 m²'), ('Superficie útil:', '200 m²'), ('Superficie solar:', '1.500 m²'), ('Habitaciones:', '4'), ('Baños:', '3'), ('Antigüedad:', 'Entre 20 y 30 años'), ('Referencia:', 'SA1151-2223-2023/5949')]",Alquiler
Piso en alquiler en Valdebebas-Valdefuentes,Valdebebas-Valdefuentes (Distrito Hortaleza. Madrid Capital),4.700,230,Anuncio actualizado el 18/10/2024,N/A,N/A,"[('Superficie construida:', '230 m²'), ('Superficie útil:', '210 m²'), ('Habitaciones:', '4'), ('Baños:', '3'), ('Planta:', 'Bajo'), ('Antigüedad:', 'Entre 10 y 20 años'), ('Conservación:', 'Reformado'), ('Referencia:', '1794-1101941')]",Alquiler
Piso en alquiler en Madrid,Justicia-Chueca (Distrito Centro. Madrid Capital),15.000,557,Anuncio actualizado el 19/10/2024,N/A,N/A,"[('Superficie construida:', '557 m²'), ('Habitaciones:', '6'), ('Baños:', '7'), ('Planta:', '2ª'), ('Conservación:', 'En buen estado'), ('Referencia:', 'SA88-ALQSQATCMP')]",Alquiler
Chalet pareado en alquiler en Peñagrande,Peñagrande (Distrito Fuencarral-El Pardo. Madrid Capital),3.100,383,Anuncio actualizado el 11/10/2024,N/A,N/A,"[('Superficie construida:', '383 m²'), ('Superficie útil:', '383 m²'), ('Habitaciones:', '5'), ('Baños:', '4'), ('Antigüedad:', 'Entre 20 y 30 años'), ('Conservación:', 'En buen estado'), ('Referencia:', '992673-668388')]",Alquiler
Piso en alquiler en Paseo de la Vaguada,Pilar (Distrito Fuencarral-El Pardo. Madrid Capital),1.200,70,Anuncio actualizado el 23/10/2024,N/A,N/A,"[('Superficie construida:', '70 m²'), ('Superficie útil:', '68 m²'), ('Habitaciones:', '2'), ('Baños:', '2'), ('Planta:', 'Principal'), ('Antigüedad:', 'Entre 20 y 30 años'), ('Conservación:', 'En buen estado'), ('Gastos de comunidad:', 'Entre 40 y 60 €'), ('Referencia:', '4519303-000541')]",Alquiler
"Dúplex en alquiler en Calle de los Pirineos, 25",Ciudad Universitaria (Distrito Moncloa-Aravaca. Madrid Capital),3.500,250,Anuncio actualizado el 30/08/2024,N/A,N/A,"[('Superficie construida:', '250 m²'), ('Habitaciones:', '4'), ('Baños:', '3'), ('Planta:', '1ª'), ('Conservación:', 'En buen estado'), ('Referencia:', 'INB180-259-RO-139')]",Alquiler
"Piso en alquiler en Avenida de Carmen Martín Gaite, número .",Leganés Norte (Leganés),1.100,88,Anuncio actualizado el 12/10/2024,N/A,N/A,"[('Superficie construida:', '88 m²'), ('Superficie útil:', '88 m²'), ('Habitaciones:', '3'), ('Baños:', '2'), ('Planta:', '2ª'), ('Referencia:', 'EP442-723111')]",Alquiler
Estudio en alquiler en El Bosque,El Bosque (Villaviciosa de Odón),1.198,30,Anuncio actualizado el 05/07/2024,N/A,N/A,"[('Superficie construida:', '30 m²'), ('Superficie útil:', '30 m²'), ('Habitaciones:', '1'), ('Baños:', '1'), ('Planta:', '1ª'), ('Antigüedad:', 'Menos de 5 años'), ('Conservación:', 'En buen estado'), ('Referencia:', '4997897-22090201A')]",Alquiler
Piso en alquiler en Ciudad Jardín,¡Vaya! Esta propiedad no tiene fotos,1.295,61,Anuncio actualizado el 24/10/2024,N/A,N/A,"[('Superficie construida:', '61 m²'), ('Habitaciones:', '2'), ('Baños:', '1'), ('Antigüedad:', 'Entre 30 y 50 años'), ('Conservación:', 'En buen estado'), ('Referencia:', 'TC168-517256')]",Alquiler
"Piso en alquiler en Avenida del Rey Juan Carlos I, cerca de Calle de Austria",El Carrascal (Leganés),1.300,120,Anuncio actualizado el 03/10/2024,N/A,N/A,"[('Superficie construida:', '120 m²'), ('Superficie útil:', '110 m²'), ('Habitaciones:', '3'), ('Baños:', '2'), ('Planta:', '13ª'), ('Antigüedad:', 'Entre 20 y 30 años'), ('Referencia:', 'SA1855-LEG1300/3684')]",Alquiler
Piso en alquiler en Cercano Al Golf,El Soto de la Moraleja (La Moraleja),3.000,160,Anuncio actualizado el 26/10/2024,N/A,N/A,"[('Superficie construida:', '160 m²'), ('Superficie útil:', '155 m²'), ('Habitaciones:', '2'), ('Baños:', '3'), ('Planta:', '3ª'), ('Antigüedad:', 'Menos de 5 años'), ('Conservación:', 'A estrenar'), ('Referencia:', '1794-1101604')]",Alquiler
Ático en alquiler en Calle de Esparteros,Sol (Distrito Centro. Madrid Capital),1.550,90,Anuncio actualizado el 07/10/2024,N/A,N/A,"[('Superficie construida:', '90 m²'), ('Habitaciones:', '2'), ('Baños:', '2'), ('Planta:', '5ª'), ('Conservación:', 'En buen estado'), ('Referencia:', 'SA1925-34246')]",Alquiler
Piso en alquiler en Centro,Centro (Leganés),1.300,145,Anuncio actualizado el 18/09/2024,N/A,N/A,"[('Superficie construida:', '145 m²'), ('Superficie útil:', '123 m²'), ('Habitaciones:', '3'), ('Baños:', '2'), ('Planta:', '2ª'), ('Antigüedad:', 'Entre 30 y 50 años'), ('Referencia:', 'SA1368-A-635/4315')]",Alquiler
"Piso en alquiler en Calle de Núñez de Balboa, cerca de Calle de José Ortega y Gasset",¡Vaya! Esta propiedad no tiene fotos,7.500,228,Anuncio actualizado el 28/10/2024,N/A,N/A,"[('Superficie construida:', '228 m²'), ('Superficie útil:', '199 m²'), ('Habitaciones:', '4'), ('Baños:', '5'), ('Planta:', '6ª'), ('Antigüedad:', 'Más de 50 años'), ('Conservación:', 'En buen estado'), ('Referencia:', '996542-3037-JB')]",Alquiler
"Piso en alquiler en Calle de Joaquín María López, cerca de Calle de Guzmán El Bueno",Gaztambide (Distrito Chamberí. Madrid Capital),3.750,170,Anuncio actualizado el 18/10/2024,N/A,N/A,"[('Superficie construida:', '170 m²'), ('Superficie útil:', '165 m²'), ('Habitaciones:', '5'), ('Baños:', '3'), ('Planta:', '5ª'), ('Conservación:', 'A estrenar'), ('Referencia:', '4521707-2024-28')]",Alquiler
Chalet en alquiler en los Peñascales - El Monte,Los Peñascales (Torrelodones),2.490,203,Anuncio actualizado el 25/10/2024,N/A,N/A,"[('Superficie construida:', '203 m²'), ('Superficie solar:', '535 m²'), ('Habitaciones:', '3'), ('Baños:', '3'), ('Antigüedad:', 'Entre 20 y 30 años'), ('Conservación:', 'En buen estado'), ('Referencia:', 'IF6229-AO-1781')]",Alquiler
"Piso en alquiler en Avenida del Santuario de Valverde, cerca de Calle de la Colegiata de Cervatos",Montecarmelo (Distrito Fuencarral-El Pardo. Madrid Capital),1.950,125,Anuncio actualizado el 22/08/2024,N/A,N/A,"[('Superficie construida:', '125 m²'), ('Superficie útil:', '115 m²'), ('Habitaciones:', '3'), ('Baños:', '2'), ('Planta:', '3ª'), ('Antigüedad:', 'Entre 20 y 30 años'), ('Conservación:', 'En buen estado'), ('Referencia:', '4524941-A-025')]",Alquiler
"Piso en alquiler en Calle de José Ortega y Gasset, cerca de Calle de Francisco Silvela",¡Vaya! Esta propiedad no tiene fotos,9.000,420,Anuncio actualizado el 28/10/2024,N/A,N/A,"[('Superficie construida:', '420 m²'), ('Superficie útil:', '400 m²'), ('Habitaciones:', '4'), ('Baños:', '5'), ('Planta:', '3ª'), ('Antigüedad:', 'Más de 50 años'), ('Conservación:', 'Reformado'), ('Referencia:', '996542-060705')]",Alquiler
Apartamento en alquiler en Paseo de la Esperanza,Acacias (Distrito Arganzuela. Madrid Capital),1.300,50,Anuncio actualizado el 01/08/2024,N/A,N/A,"[('Superficie construida:', '50 m²'), ('Superficie útil:', '40 m²'), ('Habitaciones:', '1'), ('Baños:', '1'), ('Planta:', 'Bajo'), ('Antigüedad:', 'Menos de 5 años'), ('Conservación:', 'A estrenar'), ('Referencia:', '4524941-A-010')]",Alquiler
Apartamento en alquiler en Paseo de la Esperanza,Acacias (Distrito Arganzuela. Madrid Capital),1.300,50,Anuncio actualizado el 01/08/2024,N/A,N/A,"[('Superficie construida:', '50 m²'), ('Superficie útil:', '40 m²'), ('Habitaciones:', '1'), ('Baños:', '1'), ('Planta:', 'Bajo'), ('Antigüedad:', 'Menos de 5 años'), ('Conservación:', 'A estrenar'), ('Referencia:', '4524941-A-011')]",Alquiler
Chalet pareado en alquiler en El Encinar de los Reyes,Encinar de los Reyes (La Moraleja),5.500,500,Anuncio actualizado el 12/10/2024,N/A,N/A,"[('Superficie construida:', '500 m²'), ('Superficie útil:', '450 m²'), ('Habitaciones:', '4'), ('Baños:', '6'), ('Antigüedad:', 'Entre 10 y 20 años'), ('Conservación:', 'En buen estado'), ('Referencia:', '1794-2102765')]",Alquiler
Estudio en alquiler en Hellín,Hellín (Distrito San Blas. Madrid Capital),920,40,Anuncio actualizado el 28/10/2024,N/A,N/A,"[('Superficie construida:', '40 m²'), ('Superficie útil:', '40 m²'), ('Habitaciones:', '1'), ('Baños:', '1'), ('Planta:', 'Bajo'), ('Conservación:', 'A estrenar'), ('Referencia:', '518978-2A2388')]",Alquiler
Apartamento en alquiler en Calle del Alcalde López Casero,Quintana (Distrito Ciudad Lineal. Madrid Capital),1.400,55,Anuncio actualizado el 01/08/2024,N/A,N/A,"[('Superficie construida:', '55 m²'), ('Superficie útil:', '48 m²'), ('Habitaciones:', '1'), ('Baños:', '1'), ('Planta:', 'Bajo'), ('Antigüedad:', 'Menos de 5 años'), ('Conservación:', 'A estrenar'), ('Referencia:', '4524941-A-015')]",Alquiler
"Piso en alquiler en Calle de Clara del Rey, cerca de Calle de Santa Rita",Prosperidad (Distrito Chamartín. Madrid Capital),1.400,55,Anuncio actualizado el 22/10/2024,Consumo:140 kWh/m² año,Emisiones:55 Kg CO₂/m² año,"[('Superficie construida:', '55 m²'), ('Habitaciones:', '2'), ('Baños:', '1'), ('Planta:', '5ª'), ('Antigüedad:', 'Entre 30 y 50 años'), ('Conservación:', 'En buen estado'), ('Referencia:', 'TC622-598828')]",Alquiler
Piso en alquiler en Calle del Oso,Embajadores-Lavapiés (Distrito Centro. Madrid Capital),3.200,110,Anuncio actualizado el 23/10/2024,N/A,N/A,"[('Superficie construida:', '110 m²'), ('Superficie útil:', '100 m²'), ('Habitaciones:', '3'), ('Baños:', '2'), ('Planta:', '3ª'), ('Antigüedad:', 'Más de 50 años'), ('Conservación:', 'En buen estado'), ('Gastos de comunidad:', 'Entre 40 y 60 €'), ('Referencia:', '4519303-000999')]",Alquiler
Apartamento en alquiler en Calle de Olite,Bellas Vistas (Distrito Tetuán. Madrid Capital),1.400,50,Anuncio actualizado el 01/08/2024,N/A,N/A,"[('Superficie construida:', '50 m²'), ('Superficie útil:', '40 m²'), ('Habitaciones:', '1'), ('Baños:', '1'), ('Planta:', 'Bajo'), ('Antigüedad:', 'Menos de 5 años'), ('Conservación:', 'A estrenar'), ('Referencia:', '4524941-A-018')]",Alquiler
Piso en alquiler en Argüelles,Argüelles (Distrito Moncloa-Aravaca. Madrid Capital),1.280,45,Anuncio actualizado el 02/10/2024,N/A,N/A,"[('Superficie construida:', '45 m²'), ('Habitaciones:', '2'), ('Baños:', '1'), ('Conservación:', 'En buen estado'), ('Referencia:', 'TC953-546607')]",Alquiler
Casa adosada en alquiler en Torrelodones - los Robles,Los Robles (Torrelodones),2.100,300,Anuncio actualizado el 18/10/2024,Consumo:160 kWh/m² año,Emisiones:33 Kg CO₂/m² año,"[('Superficie construida:', '300 m²'), ('Superficie solar:', '40 m²'), ('Habitaciones:', '4'), ('Baños:', '3'), ('Tipo de casa:', 'Adosada'), ('Antigüedad:', 'Entre 20 y 30 años'), ('Conservación:', 'En buen estado'), ('Referencia:', 'IF6229-AO-1699')]",Alquiler
Piso en alquiler en Plaza Miraflor,Centro-Arroyo-La Fuente (Fuenlabrada),900,86,Anuncio actualizado el 23/10/2024,N/A,N/A,"[('Superficie construida:', '86 m²'), ('Superficie útil:', '86 m²'), ('Habitaciones:', '2'), ('Baños:', '1'), ('Planta:', 'Bajo'), ('Antigüedad:', 'Entre 30 y 50 años'), ('Conservación:', 'En buen estado'), ('Referencia:', '4519838-000028')]",Alquiler
