Descripción,Localización,Precio,Última Actualización,Consumo Energético,Emisiones Co2,Tipo De Operación,Superficie Construida,Superficie Útil,Habitaciones,Baños,Antigüedad,Conservación,Planta,Tipo De Casa
Piso en alquiler en los Satélites-Roza Martín,Los Satélites-Roza Martín (Majadahonda),2500.0,2024-10-28,,,Alquiler,143.0,114.0,3,3,No especificado,En buen estado,2ª,Piso
"Estudio en alquiler en Calle Mayor, cerca de Calle de Felipe III",Sol (Distrito Centro. Madrid Capital),1000.0,2024-10-17,Consumo:411 kWh/m² año,Emisiones:70 Kg CO₂/m² año,Alquiler,45.0,No especificado,No especificado,1,No especificado,No especificado,5ª,Estudio
Apartamento en alquiler en Recoletos,Recoletos (Distrito Salamanca. Madrid Capital),3000.0,2024-10-23,Consumo:109 kWh/m² año,Emisiones:18 Kg CO₂/m² año,Alquiler,50.0,No especificado,1,1,Más de 50 años,No especificado,No especificado,Otro
Ático en alquiler en Hispanoamérica,Hispanoamérica (Distrito Chamartín. Madrid Capital),2700.0,2024-10-14,Consumo:291 kWh/m² año,Emisiones:60 Kg CO₂/m² año,Alquiler,62.0,No especificado,2,2,Más de 50 años,No especificado,6ª,Otro
Loft en alquiler en Polígono Industrial Norte,Ciudalcampo-Fuente del Fresno (San Sebastián de los Reyes),1100.0,2024-10-22,,,Alquiler,70.0,No especificado,1,2,No especificado,A estrenar,No especificado,Otro
Piso en alquiler en Calle de San Juan de Ortega,Las Tablas (Distrito Fuencarral-El Pardo. Madrid Capital),1485.0,2024-10-28,,,Alquiler,93.0,59.0,2,No especificado,No especificado,No especificado,3ª,Piso
Apartamento en alquiler en Nueva España,Nueva España (Distrito Chamartín. Madrid Capital),4500.0,2024-07-31,,,Alquiler,245.0,No especificado,5,4,No especificado,No especificado,5ª,Otro
"Apartamento en alquiler en Avenida de los Prunos, cerca de Calle de las Petunias",Palomas (Distrito Hortaleza. Madrid Capital),2400.0,2024-09-06,Consumo:202 kWh/m² año,Emisiones:42 Kg CO₂/m² año,Alquiler,153.0,No especificado,4,2,No especificado,No especificado,No especificado,Otro
"Apartamento en alquiler en Calle de Santa Isabel, cerca de Calle de la Rosa",Embajadores-Lavapiés (Distrito Centro. Madrid Capital),2600.0,2024-10-18,Consumo:315 kWh/m² año,Emisiones:82 Kg CO₂/m² año,Alquiler,105.0,No especificado,4,2,Más de 50 años,No especificado,1ª,Otro
Piso en alquiler en Vallehermoso,Vallehermoso (Distrito Chamberí. Madrid Capital),3250.0,2024-07-01,Consumo:142 kWh/m² año,Emisiones:30 Kg CO₂/m² año,Alquiler,242.0,No especificado,4,3,No especificado,No especificado,No especificado,Piso
Piso en alquiler en Calle de las Carretas,Núcleo Urbano (Villanueva de la Cañada),1250.0,2024-10-28,,,Alquiler,68.0,65.0,2,1,No especificado,En buen estado,1ª,Piso
"Apartamento en alquiler en Avenida de Francisco Pi y Margall, 47, cerca de Calle de Isabel Clara Eugenia",Sanchinarro (Distrito Hortaleza. Madrid Capital),1672.0,2024-10-25,,,Alquiler,108.0,No especificado,3,2,Entre 10 y 20 años,No especificado,3ª,Otro
Piso en alquiler en Fuente del Berro,Fuente del Berro (Distrito Salamanca. Madrid Capital),850.0,2024-10-28,,,Alquiler,66.0,No especificado,No especificado,1,No especificado,En buen estado,Bajo,Piso
Piso en alquiler en El Encinar de los Reyes,Encinar de los Reyes (La Moraleja),4800.0,2024-10-28,,,Alquiler,200.0,No especificado,4,4,No especificado,No especificado,No especificado,Piso
Casa en alquiler en Calle Alonso Pérez de Guzmán,Parque de Boadilla (Boadilla del Monte),3700.0,2024-10-15,Consumo:86 kWh/m² año,Emisiones:16 Kg CO₂/m² año,Alquiler,305.0,No especificado,4,3,Menos de 5 años,No especificado,No especificado,Casa
Chalet pareado en alquiler en La Moraleja,La Moraleja (La Moraleja),5500.0,2024-10-28,,,Alquiler,311.0,310.0,5,5,Menos de 5 años,Reformado,No especificado,Chalet
Apartamento en alquiler en Recoletos,Recoletos (Distrito Salamanca. Madrid Capital),11500.0,2024-10-11,Consumo:281 kWh/m² año,Emisiones:57 Kg CO₂/m² año,Alquiler,238.0,No especificado,3,4,No especificado,No especificado,3ª,Otro
Piso en alquiler en San Diego,San Diego (Distrito Puente de Vallecas. Madrid Capital),995.0,2024-10-25,,,Alquiler,53.0,No especificado,2,1,No especificado,En buen estado,4ª,Piso
Apartamento en alquiler en Sol,Sol (Distrito Centro. Madrid Capital),2700.0,2024-09-30,Consumo:190 kWh/m² año,Emisiones:37 Kg CO₂/m² año,Alquiler,107.0,No especificado,2,2,Más de 50 años,No especificado,No especificado,Otro
"Apartamento en alquiler en Calle de Ponzano, cerca de Calle de Ríos Rosas",Ríos Rosas (Distrito Chamberí. Madrid Capital),2930.0,2024-09-02,Consumo:252 kWh/m² año,Emisiones:44 Kg CO₂/m² año,Alquiler,65.0,No especificado,2,1,No especificado,No especificado,1ª,Otro
Piso en alquiler en Carabanchel,Abrantes (Distrito Carabanchel. Madrid Capital),1300.0,2024-10-18,,,Alquiler,85.0,No especificado,3,2,No especificado,En buen estado,5ª,Piso
Piso en alquiler en Pradolongo,Pradolongo (Distrito Usera. Madrid Capital),950.0,2024-08-19,,,Alquiler,57.0,No especificado,2,1,No especificado,En buen estado,1ª,Piso
Piso en alquiler en Puerta Bonita,Puerta Bonita (Distrito Carabanchel. Madrid Capital),1190.0,2024-10-24,Consumo:119 kWh/m² año,Emisiones:25 Kg CO₂/m² año,Alquiler,89.0,No especificado,2,2,Entre 20 y 30 años,En buen estado,2ª,Piso
Piso en alquiler en Centro,Embajadores-Lavapiés (Distrito Centro. Madrid Capital),750.0,2024-10-28,,,Alquiler,35.0,No especificado,1,1,No especificado,En buen estado,1ª,Piso
Piso en alquiler en Cortes-Huertas,Cortes-Huertas (Distrito Centro. Madrid Capital),2090.0,2024-10-17,Consumo:124 kWh/m² año,Emisiones:26 Kg CO₂/m² año,Alquiler,67.0,No especificado,2,1,No especificado,En buen estado,4ª,Piso
Piso en alquiler en Calle Doctor Castroviejo,Peñagrande (Distrito Fuencarral-El Pardo. Madrid Capital),1385.0,2024-10-28,,,Alquiler,56.0,40.0,No especificado,No especificado,No especificado,No especificado,13ª,Piso
"Piso en alquiler en Paseo de Juan XXIII, 29",Ciudad Universitaria (Distrito Moncloa-Aravaca. Madrid Capital),1200.0,2024-10-25,,,Alquiler,50.0,45.0,1,1,Entre 10 y 20 años,En buen estado,4ª,Piso
"Apartamento en alquiler en Calle de Galileo, cerca de Calle de Alberto Aguilera",Arapiles (Distrito Chamberí. Madrid Capital),2500.0,2024-10-25,,,Alquiler,125.0,No especificado,2,2,No especificado,No especificado,1ª,Otro
Piso en alquiler en Monte del Pilar,Zona Carretera del Plantío (Majadahonda),2100.0,2024-10-25,,,Alquiler,147.0,No especificado,3,2,No especificado,No especificado,No especificado,Piso
Piso en alquiler en Usera,Moscardó (Distrito Usera. Madrid Capital),1025.0,2024-10-25,,,Alquiler,60.0,No especificado,2,1,No especificado,En buen estado,2ª,Piso
Apartamento en alquiler en Prado de Somosaguas,Prado de Somosaguas (Pozuelo de Alarcón),3200.0,2024-10-22,,,Alquiler,150.0,No especificado,4,2,Entre 20 y 30 años,No especificado,No especificado,Otro
Piso en alquiler en Casco Histórico de Vallecas,Casco Histórico de Vallecas (Distrito Villa de Vallecas. Madrid Capital),1070.0,2024-10-15,,,Alquiler,52.0,No especificado,3,1,No especificado,En buen estado,3ª,Piso
Piso en alquiler en Calle de Esteban Palacios,Piovera (Distrito Hortaleza. Madrid Capital),1625.0,2024-10-27,,,Alquiler,94.0,No especificado,2,No especificado,No especificado,No especificado,3ª,Piso
Piso en alquiler en Amposta,Amposta (Distrito San Blas. Madrid Capital),990.0,2024-09-04,,,Alquiler,49.0,No especificado,3,1,No especificado,En buen estado,2ª,Piso
Ático en alquiler en Cerca del Golf,Encinar de los Reyes (La Moraleja),5800.0,2024-09-29,,,Alquiler,321.0,204.0,5,6,Menos de 5 años,En buen estado,3ª,Otro
Piso en alquiler en Simancas,Simancas (Distrito San Blas. Madrid Capital),975.0,2024-09-04,,,Alquiler,48.0,No especificado,2,1,No especificado,En buen estado,4ª,Piso
Apartamento en alquiler en Argüelles,Argüelles (Distrito Moncloa-Aravaca. Madrid Capital),4100.0,2024-10-15,,,Alquiler,160.0,No especificado,No especificado,2,No especificado,No especificado,No especificado,Otro
Chalet en alquiler en Boadilla del Monte - Valdecabaña,Valdecabañas (Boadilla del Monte),7500.0,2024-10-14,,,Alquiler,635.0,No especificado,4,3,No especificado,En buen estado,No especificado,Chalet
Apartamento en alquiler en Camino de la Zarzuela,Valdemarín (Distrito Moncloa-Aravaca. Madrid Capital),3200.0,2024-10-23,,,Alquiler,150.0,No especificado,3,3,No especificado,No especificado,No especificado,Otro
Piso en alquiler en Almendrales,Almendrales (Distrito Usera. Madrid Capital),970.0,2024-10-15,,,Alquiler,58.0,No especificado,2,1,No especificado,En buen estado,1ª,Piso
Piso en alquiler en Calle de Recaredo,El Viso (Distrito Chamartín. Madrid Capital),1400.0,2024-10-16,,,Alquiler,,No especificado,No especificado,No especificado,No especificado,No especificado,No especificado,Piso
Apartamento en alquiler en Goya,Goya (Distrito Salamanca. Madrid Capital),2500.0,2024-09-20,,,Alquiler,99.0,No especificado,2,2,Más de 50 años,No especificado,2ª,Otro
Apartamento en alquiler en Somosaguas-Húmera-Los Ángeles,Somosaguas-Húmera-Los Ángeles (Pozuelo de Alarcón),3000.0,2024-10-10,Consumo:121 kWh/m² año,Emisiones:25 Kg CO₂/m² año,Alquiler,143.0,No especificado,3,2,Entre 20 y 30 años,No especificado,No especificado,Otro
Estudio en alquiler en Calle de Don Ramón de la Cruz,Goya (Distrito Salamanca. Madrid Capital),1100.0,2024-10-11,Consumo:461 kWh/m² año,Emisiones:90 Kg CO₂/m² año,Alquiler,28.0,25.0,No especificado,1,Más de 50 años,En buen estado,4ª,Estudio
Piso en alquiler en Tetuan,Valdeacederas (Distrito Tetuán. Madrid Capital),1100.0,2024-10-28,,,Alquiler,65.0,No especificado,2,1,No especificado,En buen estado,1ª,Piso
Piso en alquiler en El Rosón-Kelvinator,El Rosón-Kelvinator (Getafe),1500.0,2024-10-07,Consumo:100 kWh/m² año,Emisiones:100 Kg CO₂/m² año,Alquiler,140.0,125.0,4,2,Entre 10 y 20 años,Reformado,Entresuelo,Piso
Apartamento en alquiler en Valderrivas,Valderrivas (Distrito Vicálvaro. Madrid Capital),1500.0,2024-08-05,,,Alquiler,85.0,No especificado,2,2,No especificado,No especificado,No especificado,Otro
"Piso en alquiler en Calle de Juan Gris, 26",Casco (Rivas-Vaciamadrid),1025.0,2024-10-15,,,Alquiler,78.0,No especificado,2,1,No especificado,En buen estado,No especificado,Piso
Apartamento en alquiler en Calle de Teruel,Cuatro Caminos (Distrito Tetuán. Madrid Capital),2130.0,2024-09-18,Consumo:26 kWh/m² año,Emisiones:5 Kg CO₂/m² año,Alquiler,40.0,No especificado,No especificado,1,Menos de 5 años,No especificado,1ª,Otro
Apartamento en alquiler en Nueva España,Nueva España (Distrito Chamartín. Madrid Capital),4000.0,2024-08-01,,,Alquiler,193.0,No especificado,4,3,No especificado,No especificado,11ª,Otro
Apartamento en alquiler en Centro,Centro (Las Rozas de Madrid),1600.0,2024-10-28,,,Alquiler,140.0,No especificado,3,2,Entre 30 y 50 años,No especificado,No especificado,Otro
Casa en alquiler en Calle del Maestro Alonso,Abantos-Monte Carmelo-El Rosario (San Lorenzo de El Escorial),2650.0,2023-07-08,,,Alquiler,330.0,275.0,3,4,Entre 10 y 20 años,En buen estado,No especificado,Casa
Piso en alquiler en Coslada,Valleaguado-La Cañada (Coslada),1200.0,2024-10-28,,,Alquiler,101.0,No especificado,3,2,No especificado,En buen estado,No especificado,Piso
Piso en alquiler en Avenida de Monasterio de Silos,Montecarmelo (Distrito Fuencarral-El Pardo. Madrid Capital),1650.0,2024-10-22,,,Alquiler,151.0,100.0,3,2,Entre 10 y 20 años,No especificado,1ª,Piso
"Apartamento en alquiler en Calle Castelló, cerca de Calle de Goya",Recoletos (Distrito Salamanca. Madrid Capital),3600.0,2024-10-28,Consumo:255 kWh/m² año,Emisiones:53 Kg CO₂/m² año,Alquiler,120.0,No especificado,3,2,Más de 50 años,No especificado,4ª,Otro
Piso en alquiler en Tetuan,Almenara (Distrito Tetuán. Madrid Capital),1050.0,2024-10-23,,,Alquiler,50.0,No especificado,1,1,No especificado,A estrenar,1ª,Piso
Apartamento en alquiler en Puerta del Ángel,Puerta del Ángel (Distrito Latina. Madrid Capital),1600.0,2024-10-23,Consumo:239 kWh/m² año,Emisiones:49 Kg CO₂/m² año,Alquiler,75.0,No especificado,3,1,Más de 50 años,No especificado,2ª,Otro
Piso en alquiler en Ciudad Lineal,Pueblo Nuevo (Distrito Ciudad Lineal. Madrid Capital),990.0,2024-10-24,,,Alquiler,50.0,No especificado,2,1,No especificado,En buen estado,2ª,Piso
Piso en alquiler en Galapagar,La Navata (Galapagar),1750.0,2024-10-07,,,Alquiler,189.0,No especificado,4,3,No especificado,No especificado,No especificado,Piso
"Apartamento en alquiler en Calle de Matilde Landa, cerca de Calle del General Pintos",Almenara (Distrito Tetuán. Madrid Capital),3100.0,2024-08-19,Consumo:326 kWh/m² año,Emisiones:55 Kg CO₂/m² año,Alquiler,80.0,No especificado,2,2,No especificado,No especificado,No especificado,Otro
Apartamento en alquiler en Valverde,Valverde (Distrito Fuencarral-El Pardo. Madrid Capital),970.0,2024-08-07,,,Alquiler,30.0,20.0,1,1,No especificado,No especificado,2ª,Otro
Piso en alquiler en Arcos,Arcos (Distrito San Blas. Madrid Capital),1080.0,2024-10-16,,,Alquiler,52.0,No especificado,3,1,No especificado,En buen estado,3ª,Piso
"Piso en alquiler en Calle Gran Vía, cerca de Calle de Leira",Canillas (Distrito Hortaleza. Madrid Capital),1150.0,2024-10-21,,,Alquiler,84.0,80.0,2,2,No especificado,No especificado,5ª,Piso
Piso en alquiler en Calle de la Virgen de los Peligros,Sol (Distrito Centro. Madrid Capital),3700.0,2024-10-15,Consumo:35 kWh/m² año,Emisiones:6 Kg CO₂/m² año,Alquiler,120.0,No especificado,2,2,No especificado,En buen estado,2ª,Piso
"Piso en alquiler en Calle de Hércules, 47",Sur-Este (Móstoles),965.0,2024-10-18,,,Alquiler,69.0,No especificado,2,1,No especificado,En buen estado,3ª,Piso
Ático en alquiler en Calle de Vista Alegre,Somosaguas-Húmera-Los Ángeles (Pozuelo de Alarcón),2500.0,2024-05-21,Consumo:94 kWh/m² año,Emisiones:19 Kg CO₂/m² año,Alquiler,200.0,No especificado,2,2,No especificado,No especificado,No especificado,Otro
Piso en alquiler en Hortaleza,Pinar del Rey (Distrito Hortaleza. Madrid Capital),1090.0,2024-10-21,,,Alquiler,60.0,No especificado,1,1,No especificado,En buen estado,1ª,Piso
"Apartamento en alquiler en Calle Jorge Juan, cerca de Calle de Fernán González",Goya (Distrito Salamanca. Madrid Capital),1200.0,2024-10-28,Consumo:311 kWh/m² año,Emisiones:54 Kg CO₂/m² año,Alquiler,40.0,No especificado,2,1,No especificado,No especificado,No especificado,Otro
Piso en alquiler en Galapagar,Zona Club Deportivo Galapagar-Los Almendros (Galapagar),1200.0,2024-10-09,,,Alquiler,127.0,No especificado,3,2,No especificado,No especificado,No especificado,Piso
Piso en alquiler en Arganzuela,Imperial (Distrito Arganzuela. Madrid Capital),1600.0,2024-10-27,,,Alquiler,100.0,No especificado,3,2,No especificado,En buen estado,4ª,Piso
Piso en alquiler en Chamberi,Gaztambide (Distrito Chamberí. Madrid Capital),2000.0,2024-10-20,,,Alquiler,92.0,No especificado,3,1,No especificado,En buen estado,2ª,Piso
Piso en alquiler en Calle de Torrelaguna,San Pascual (Distrito Ciudad Lineal. Madrid Capital),1685.0,2024-10-28,,,Alquiler,101.0,71.0,2,No especificado,No especificado,No especificado,10ª,Piso
Piso en alquiler en Fuencarral,La Paz (Distrito Fuencarral-El Pardo. Madrid Capital),1290.0,2024-10-18,,,Alquiler,70.0,No especificado,3,1,No especificado,En buen estado,6ª,Piso
Piso en alquiler en San Diego,San Diego (Distrito Puente de Vallecas. Madrid Capital),930.0,2024-07-22,,,Alquiler,60.0,No especificado,2,1,No especificado,En buen estado,2ª,Piso
Piso en alquiler en San Fermín,San Fermín (Distrito Usera. Madrid Capital),1050.0,2024-09-03,,,Alquiler,64.0,No especificado,3,1,No especificado,En buen estado,2ª,Piso
Piso en alquiler en S.S. de los Reyes,Arroyos y Tempranales (San Sebastián de los Reyes),1100.0,2024-10-11,,,Alquiler,75.0,No especificado,1,1,No especificado,No especificado,No especificado,Piso
Piso en alquiler en Calle de Lope de Vega,Cortes-Huertas (Distrito Centro. Madrid Capital),2200.0,2024-10-25,,,Alquiler,135.0,No especificado,3,1,No especificado,En buen estado,3ª,Piso
"Piso en alquiler en Calle de Atocha, cerca de Calle de Moratín",Cortes-Huertas (Distrito Centro. Madrid Capital),1600.0,2024-10-02,,,Alquiler,52.0,50.0,2,1,No especificado,No especificado,Bajo,Piso
Piso en alquiler en San Andrés,San Andrés (Distrito Villaverde. Madrid Capital),900.0,2024-06-28,,,Alquiler,63.0,No especificado,2,1,No especificado,En buen estado,4ª,Piso
Apartamento en alquiler en Trafalgar,Trafalgar (Distrito Chamberí. Madrid Capital),2800.0,2024-10-23,Consumo:160 kWh/m² año,Emisiones:34 Kg CO₂/m² año,Alquiler,123.0,No especificado,3,2,Más de 50 años,No especificado,5ª,Otro
Apartamento en alquiler en Jerónimos,Jerónimos (Distrito Retiro. Madrid Capital),12500.0,2024-05-21,,,Alquiler,336.0,No especificado,3,5,Menos de 5 años,No especificado,No especificado,Otro
Apartamento en alquiler en Castillejos,Castillejos (Distrito Tetuán. Madrid Capital),4000.0,2024-10-16,Consumo:140 kWh/m² año,Emisiones:29 Kg CO₂/m² año,Alquiler,217.0,No especificado,4,4,Más de 50 años,No especificado,6ª,Otro
Piso en alquiler en Vallehermoso,Vallehermoso (Distrito Chamberí. Madrid Capital),1700.0,2024-10-28,,,Alquiler,83.0,80.0,2,1,No especificado,No especificado,6ª,Piso
Apartamento en alquiler en Calle de Villanueva,Recoletos (Distrito Salamanca. Madrid Capital),4500.0,2024-10-21,Consumo:211 kWh/m² año,Emisiones:43 Kg CO₂/m² año,Alquiler,220.0,No especificado,2,2,No especificado,No especificado,5ª,Otro
Piso en alquiler en Leganés Centro,Centro (Leganés),950.0,2024-10-25,,,Alquiler,80.0,No especificado,3,1,No especificado,En buen estado,1ª,Piso
Piso en alquiler en Abrantes,Abrantes (Distrito Carabanchel. Madrid Capital),1155.0,2024-10-24,,,Alquiler,66.0,No especificado,3,1,No especificado,En buen estado,4ª,Piso
"Piso en alquiler en Calle Raimundo Fernández Villaverde, cerca de Calle de Dulcinea",Cuatro Caminos (Distrito Tetuán. Madrid Capital),2800.0,2024-10-23,,,Alquiler,126.0,No especificado,3,3,No especificado,En buen estado,1ª,Piso
Piso en alquiler en San Isidro - los Almendros,"San Isidro, Estación (Distrito Centro. Alcalá de Henares)",750.0,2024-10-24,,,Alquiler,55.0,No especificado,1,1,No especificado,En buen estado,2ª,Piso
Apartamento en alquiler en San Juan Bautista,San Juan Bautista (Distrito Ciudad Lineal. Madrid Capital),3000.0,2024-10-11,Consumo:44 kWh/m² año,Emisiones:9 Kg CO₂/m² año,Alquiler,94.0,No especificado,2,2,No especificado,No especificado,1ª,Otro
"Piso en alquiler en Calle del Arenal, 26",Sol (Distrito Centro. Madrid Capital),1300.0,2024-10-02,,,Alquiler,61.0,55.0,1,1,No especificado,En buen estado,2ª,Piso
Apartamento en alquiler en Argüelles,Argüelles (Distrito Moncloa-Aravaca. Madrid Capital),3300.0,2024-05-21,Consumo:46 kWh/m² año,Emisiones:9 Kg CO₂/m² año,Alquiler,65.0,No especificado,2,2,Menos de 5 años,No especificado,5ª,Otro
Piso en alquiler en Loranca,Loranca- Nuevo Versalles-Parque Miraflores (Fuenlabrada),950.0,2024-10-26,,,Alquiler,80.0,No especificado,3,1,No especificado,En buen estado,5ª,Piso
"Piso en alquiler en Calle del Lino, número .",Castillejos (Distrito Tetuán. Madrid Capital),1650.0,2024-10-18,,,Alquiler,84.0,84.0,3,2,No especificado,No especificado,5ª,Piso
Piso en alquiler en Amposta,Amposta (Distrito San Blas. Madrid Capital),1025.0,2024-10-23,,,Alquiler,56.0,No especificado,3,1,No especificado,En buen estado,1ª,Piso
Piso en alquiler en Chorrillo,Chorrillo (Distrito Chorrillo-Garena. Alcalá de Henares),975.0,2024-09-17,,,Alquiler,71.0,No especificado,3,1,No especificado,En buen estado,3ª,Piso
Apartamento en alquiler en Almagro,Almagro (Distrito Chamberí. Madrid Capital),8300.0,2024-09-30,Consumo:113 kWh/m² año,Emisiones:29 Kg CO₂/m² año,Alquiler,366.0,No especificado,5,4,Más de 50 años,No especificado,No especificado,Otro
Casa en alquiler en Parque de Boadilla,Parque de Boadilla (Boadilla del Monte),3000.0,2024-10-03,,,Alquiler,150.0,No especificado,3,3,Entre 30 y 50 años,No especificado,No especificado,Casa
Piso en alquiler en Calle del Hospital,Embajadores-Lavapiés (Distrito Centro. Madrid Capital),1190.0,2024-10-22,,,Alquiler,42.0,40.0,1,1,Más de 50 años,No especificado,4ª,Piso
Piso en alquiler en Fuentebella,Fuentebella (Parla),875.0,2024-07-29,,,Alquiler,73.0,No especificado,2,1,No especificado,En buen estado,2ª,Piso
"Piso en alquiler en Calle de José Ortega y Gasset, cerca de Calle de Ayala",¡Vaya! Esta propiedad no tiene fotos,2600.0,2024-10-11,,,Alquiler,103.0,88.0,3,2,Entre 30 y 50 años,No especificado,4ª,Piso
Apartamento en alquiler en Ibiza,Ibiza (Distrito Retiro. Madrid Capital),1750.0,2024-10-25,Consumo:56 kWh/m² año,Emisiones:11 Kg CO₂/m² año,Alquiler,75.0,No especificado,1,1,No especificado,No especificado,7ª,Otro
"Piso en alquiler en Calle de la Madera, cerca de Calle del Molino de Viento",Universidad-Malasaña (Distrito Centro. Madrid Capital),5000.0,2024-08-02,,,Alquiler,125.0,No especificado,4,2,No especificado,En buen estado,No especificado,Piso
Piso en alquiler en Calle Padre Gregorio Céspedes,El Cañaveral (Distrito Vicálvaro. Madrid Capital),2700.0,2024-09-03,,,Alquiler,123.0,90.0,3,2,Menos de 5 años,A estrenar,1ª,Piso
Piso en alquiler en Pradolongo,Pradolongo (Distrito Usera. Madrid Capital),980.0,2024-09-17,,,Alquiler,64.0,No especificado,2,1,No especificado,En buen estado,3ª,Piso
Piso en alquiler en Numancia,Numancia (Distrito Puente de Vallecas. Madrid Capital),1185.0,2024-10-25,,,Alquiler,62.0,No especificado,3,1,No especificado,En buen estado,2ª,Piso
Piso en alquiler en Centro,Centro (Parla),945.0,2024-09-17,,,Alquiler,61.0,No especificado,3,1,No especificado,En buen estado,1ª,Piso
Apartamento en alquiler en Quintana,Quintana (Distrito Ciudad Lineal. Madrid Capital),1200.0,2024-07-18,Consumo:270 kWh/m² año,Emisiones:55 Kg CO₂/m² año,Alquiler,26.0,No especificado,1,1,No especificado,No especificado,No especificado,Otro
Piso en alquiler en Hortaleza,Valdebebas-Valdefuentes (Distrito Hortaleza. Madrid Capital),1800.0,2024-10-26,,,Alquiler,113.0,No especificado,2,2,No especificado,A estrenar,2ª,Piso
Piso en alquiler en Vista Alegre,Vista Alegre (Distrito Carabanchel. Madrid Capital),1150.0,2024-10-16,,,Alquiler,65.0,No especificado,3,1,No especificado,En buen estado,3ª,Piso
Piso en alquiler en San Blas,Simancas (Distrito San Blas. Madrid Capital),850.0,2024-10-25,,,Alquiler,45.0,No especificado,1,1,No especificado,En buen estado,2ª,Piso
Estudio en alquiler en Chamartin,Sol (Distrito Centro. Madrid Capital),1775.0,2024-09-18,,,Alquiler,20.0,No especificado,No especificado,No especificado,No especificado,A estrenar,1ª,Estudio
Piso en alquiler en Lucero,Lucero (Distrito Latina. Madrid Capital),1205.0,2024-10-14,,,Alquiler,62.0,No especificado,3,1,No especificado,En buen estado,1ª,Piso
Piso en alquiler en Calle del Valle del Roncal,Európolis-Montecillo-Navalcarbón (Las Rozas de Madrid),1690.0,2024-10-27,,,Alquiler,101.0,85.0,2,No especificado,No especificado,No especificado,3ª,Piso
Piso en alquiler en Calle Margaritas,Centro (Arganda del Rey),980.0,2024-10-22,,,Alquiler,85.0,78.0,3,1,Entre 30 y 50 años,A estrenar,1ª,Piso
Apartamento en alquiler en Calle del Barco,Sol (Distrito Centro. Madrid Capital),3030.0,2024-08-20,,,Alquiler,77.0,No especificado,1,1,No especificado,No especificado,1ª,Otro
Casa adosada en alquiler en Estación-Zona Norte,Estación-Zona Norte (Pozuelo de Alarcón),4300.0,2024-10-18,,,Alquiler,475.0,No especificado,5,5,No especificado,No especificado,No especificado,Casa
Piso en alquiler en San Andrés,San Andrés (Distrito Villaverde. Madrid Capital),885.0,2024-08-30,,,Alquiler,58.0,No especificado,2,1,No especificado,En buen estado,1ª,Piso
Apartamento en alquiler en Justicia-Chueca,Justicia-Chueca (Distrito Centro. Madrid Capital),1600.0,2024-10-18,,,Alquiler,51.0,No especificado,1,1,Más de 50 años,No especificado,No especificado,Otro
Casa en alquiler en Ciudalcampo-Fuente del Fresno,Ciudalcampo-Fuente del Fresno (San Sebastián de los Reyes),7000.0,2024-07-09,,,Alquiler,500.0,No especificado,6,6,No especificado,No especificado,No especificado,Casa
Piso en alquiler en San Cristóbal,San Cristóbal (Distrito Villaverde. Madrid Capital),985.0,2024-09-04,,,Alquiler,63.0,No especificado,3,1,No especificado,En buen estado,3ª,Piso
Piso en alquiler en Casco Histórico de Barajas,Casco Histórico de Barajas (Distrito Barajas. Madrid Capital),1435.0,2024-05-28,Consumo:43 kWh/m² año,Emisiones:9 Kg CO₂/m² año,Alquiler,67.0,No especificado,2,2,Menos de 5 años,No especificado,No especificado,Piso
Apartamento en alquiler en Almenara,Almenara (Distrito Tetuán. Madrid Capital),2800.0,2024-07-31,,,Alquiler,88.0,No especificado,3,2,No especificado,No especificado,No especificado,Otro
Piso en alquiler en Casco Histórico de Vallecas,Casco Histórico de Vallecas (Distrito Villa de Vallecas. Madrid Capital),970.0,2024-10-24,,,Alquiler,54.0,No especificado,2,1,No especificado,En buen estado,3ª,Piso
Apartamento en alquiler en Lista,Lista (Distrito Salamanca. Madrid Capital),1900.0,2024-09-27,Consumo:221 kWh/m² año,Emisiones:37 Kg CO₂/m² año,Alquiler,75.0,No especificado,1,1,Entre 20 y 30 años,No especificado,No especificado,Otro
Piso en alquiler en Calle de Torrelaguna,San Pascual (Distrito Ciudad Lineal. Madrid Capital),1820.0,2024-10-27,,,Alquiler,115.0,84.0,3,No especificado,No especificado,No especificado,5ª,Piso
Piso en alquiler en Somosaguas,Prado de Somosaguas (Pozuelo de Alarcón),2500.0,2024-10-27,,,Alquiler,200.0,No especificado,4,3,No especificado,En buen estado,4ª,Piso
Piso en alquiler en Calle del Río Bullaque,La Paz (Distrito Fuencarral-El Pardo. Madrid Capital),2100.0,2024-06-12,,,Alquiler,205.0,205.0,4,2,No especificado,No especificado,No especificado,Piso
Piso en alquiler en Portazgo,Portazgo (Distrito Puente de Vallecas. Madrid Capital),970.0,2024-09-05,,,Alquiler,50.0,No especificado,2,1,Más de 50 años,En buen estado,2ª,Piso
Apartamento en alquiler en El Soto de La Moraleja,El Soto de la Moraleja (La Moraleja),2600.0,2024-07-05,Consumo:187 kWh/m² año,Emisiones:32 Kg CO₂/m² año,Alquiler,107.0,No especificado,2,2,No especificado,No especificado,No especificado,Otro
Estudio en alquiler en Vega de La Moraleja,Vega de la Moraleja (San Sebastián de los Reyes),1160.0,2024-10-28,,,Alquiler,66.0,No especificado,1,1,Entre 10 y 20 años,No especificado,5ª,Estudio
